username bernardx
password 111111
data/p2.txt 0
data/p6.txt 0
data/p3.txt 0
data/p4.txt 0
data/p8.txt 0
data/p9.txt 0
data/p7.txt 0
data/p1.txt 0
data/p0.txt 0
data/p5.txt 0
data/p2.txt 0
data/p6.txt 1
data/p3.txt 0
data/p4.txt 0
data/p8.txt 0
data/p9.txt 0
data/p7.txt 0
data/p1.txt 0
data/p0.txt 0
data/p5.txt 0
username randy whitman
password 111111
data/p2.txt 0
data/p6.txt 0
data/p3.txt 0
data/p4.txt 0
data/p8.txt 0
data/p9.txt 0
data/p7.txt 0
data/p1.txt 0
data/p0.txt 0
data/p5.txt 0

data/p2.txt 0
data/p6.txt 0
data/p3.txt 0
data/p4.txt 0
data/p8.txt 0
data/p9.txt 0
data/p7.txt 0
data/p1.txt 1
data/p0.txt 0
data/p5.txt 0
username scrubs
password 11111111
data/p2.txt 0
data/p6.txt 0
data/p3.txt 0
data/p4.txt 0
data/p8.txt 0
data/p9.txt 0
data/p7.txt 0
data/p1.txt 0
data/p0.txt 0
data/p5.txt 0

data/p2.txt 0
data/p6.txt 1
data/p3.txt 0
data/p4.txt 0
data/p8.txt 0
data/p9.txt 0
data/p7.txt 0
data/p1.txt 0
data/p0.txt 0
data/p5.txt 0
